method,missing,MAF_bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Bin_Acc_sd,Bin_R2_sd,Bin_Precision_sd,Bin_Recall_sd,Bin_F1_sd
beagle,15%, 20%~30%,879876.0,0.8245275398611445,0.8768809532312747,0.7493021389619262,0.7493782433263841,0.7493391759046872,0.0003289563846358532,0.0002247655462270834,0.00046953710957866603,0.00046910414188779315,0.0004692572048017656
beagle,15%, 30%~40%,686102.0,0.785553742246582,0.8484423232758829,0.749088288893332,0.7492811469984888,0.7491834560018228,0.00039683738872893536,0.00026874540611647663,0.00046278759081290266,0.00046340402964773126,0.00046294431018378655
beagle,15%, 40%~50%,609106.0,0.7665432952648253,0.8291211405230893,0.7491066305163012,0.7493622232033763,0.7492331086506473,0.0004547877704961436,0.0003138566883835955,0.0004891671890928692,0.0004888037517604759,0.0004887873332659649
beagle,15%, Overall,17365621.0,0.952389218133381,0.9242746876360398,0.7493942984667248,0.7491700854034601,0.7492814672978677,9.335506337780724e-05,0.00014471534170561377,0.0004996201146363875,0.0004992636559169247,0.0004994109865655685
beagle,25%, 0.1%~0.5%,4579678.0,0.9958694806339657,0.9066153837588095,0.7456427933548936,0.7375335841647841,0.7415009217216598,5.745393854043128e-06,8.421528109790588e-05,0.0003870593754870728,0.00038072733832859244,0.00038215558444695585
beagle,25%, 0.5%~1%,3014809.0,0.9924354068371177,0.9242460157689903,0.7465885443317903,0.7422921717321432,0.7444096044322451,7.621346982617348e-06,5.8881932030491353e-05,0.0002746113312198879,0.0002762985752561818,0.0002760007475383988
beagle,25%, 1%~10%,6242570.0,0.970184012701067,0.9269301212927189,0.7480560478113923,0.746398353614901,0.7472198919861442,3.966331355497237e-05,8.991952642926679e-05,0.00034000736453924067,0.0003401026360246869,0.00034027877936112453
beagle,25%, 10%~20%,1353480.0,0.8818302493056156,0.9015505086344779,0.7483536906421637,0.7481026445574446,0.7482256016416278,0.00023550094491693631,0.00018750495714080548,0.0005060761258016921,0.0005028426224235482,0.0005044920507520448
beagle,25%, 20%~30%,879876.0,0.8236472179243185,0.8750040720617812,0.7481355946989691,0.748292915583324,0.7482118521976625,0.0002144664531472892,0.00014090216033072928,0.0003070762762029596,0.00030647682985995666,0.00030686192248271154
beagle,25%, 30%~40%,686102.0,0.7847098296221952,0.8464494682936295,0.7479653296917297,0.7483852763284166,0.7481728556961222,0.000285101287979181,0.00018826457151170664,0.0003366572244619359,0.00033483964435747864,0.00033592475486559926
beagle,25%, 40%~50%,609106.0,0.7654228328906578,0.8268149487232925,0.7476488307210762,0.7482078589089838,0.7479257322207425,0.00023546944000900629,0.0001629940328990268,0.0002556804363200947,0.00025452723508189817,0.0002548549569660387
beagle,25%, Overall,17365621.0,0.9519998166994426,0.9222477234446482,0.7483432506935959,0.747596485609821,0.7479669229780548,5.932259343019184e-05,8.626449970616618e-05,0.0002995079337060741,0.0002988714072305632,0.0002992437688894287
scda,5%, 0.1%~0.5%,4579678.0,0.9965279871451228,0.7478143771466769,0.826613919192503,0.9727790383587799,0.8911425861265457,1.6318400319287803e-06,7.223470390251786e-05,6.173076163483188e-05,1.3432988388633863e-05,4.1506659186684525e-05
scda,5%, 0.5%~1%,3014809.0,0.9961001171966788,0.8484523470955887,0.8986883709915044,0.9715599760029177,0.9329962524055363,2.2377958129465827e-06,0.00010157450905497825,4.218459234969578e-05,7.94880129989089e-06,2.5356371283438103e-05
scda,5%, 1%~10%,6242570.0,0.991537861933968,0.916329933735628,0.9640410757206026,0.9524715762634948,0.9582014883255138,5.579716094731763e-07,9.251932954661966e-06,6.986024492856597e-06,2.992821379631198e-06,1.904970048311293e-06
scda,5%, 10%~20%,1353480.0,0.9755280553048756,0.9194135103466315,0.9774273159543587,0.9523010305993064,0.9644943706993793,2.438657711461626e-06,1.8798802334392974e-05,6.506946375448451e-06,3.548256693755501e-06,3.870639794532465e-06
scda,5%, 20%~30%,879876.0,0.9659432581873028,0.9048756075401195,0.9739225018005486,0.9539023201989508,0.9633880660711123,1.95631424804835e-06,4.617366962330496e-05,1.2414457150526355e-06,2.4674683505384117e-06,1.886506886561617e-06
scda,5%, 30%~40%,686102.0,0.9599511450294136,0.8876860187163961,0.9677176429488498,0.954992982108053,0.960548741326582,4.078524225735939e-06,1.230538034069756e-05,7.738339089895786e-06,4.393411457050039e-06,5.653062392718434e-06
scda,5%, 40%~50%,609106.0,0.9572019129517152,0.8760537546906372,0.9624147626534705,0.9557126442195004,0.9579446610797544,1.0685171650740686e-05,7.534420451982142e-05,8.872783122250034e-06,1.0234722289536187e-05,9.996825001782897e-06
scda,5%, Overall,17365621.0,0.9886489656513708,0.9246441194476304,0.9734115212778468,0.9545589364957997,0.9638430747748838,1.10451218876395e-06,1.012993961721242e-05,5.8105332582335e-06,2.1693850703464816e-06,3.927159224567685e-06
scda,15%, 0.1%~0.5%,4579678.0,0.9923536499088416,0.5221198118265266,0.7026416819779732,0.9223862590730952,0.7902623853884613,1.242580389667779e-06,4.92032529266373e-05,3.4476013345969085e-05,2.447744765252499e-05,3.1547323755945984e-05
scda,15%, 0.5%~1%,3014809.0,0.9902279705674991,0.6458786113816595,0.8072632442113857,0.8866919687916021,0.8440543956697352,2.342724653404829e-06,0.00015982013244523723,3.7223266235144485e-05,2.674331735018162e-05,2.874884002934662e-05
scda,15%, 1%~10%,6242570.0,0.980093584429342,0.7875256866166757,0.9354663055107674,0.8834741984479185,0.9083537581131281,3.081163329616028e-06,3.8060842108747946e-05,2.4072809271337822e-05,1.3417181271687944e-05,1.4430779095676513e-05
scda,15%, 10%~20%,1353480.0,0.9419297794357675,0.7933383755525303,0.9612081395284053,0.8862903778048704,0.9203959410278589,1.168548756984878e-06,1.9145919883662505e-05,7.198074189699106e-06,3.9953275745472815e-06,2.068039957399845e-06
scda,15%, 20%~30%,879876.0,0.9175161123204933,0.759147295201025,0.9503143239876026,0.8882550758514611,0.9147821642949823,3.3035384778741384e-06,1.768074522186343e-05,7.827838745999839e-06,3.845729295716506e-06,4.799849630455547e-06
scda,15%, 30%~40%,686102.0,0.9018345770320582,0.7228494228098695,0.9350977425293593,0.8897700951240513,0.9061084596118917,1.2627155327875073e-05,7.204734273414392e-05,1.2966303895301524e-05,1.387133769141629e-05,1.3752838359546286e-05
scda,15%, 40%~50%,609106.0,0.8943568907365439,0.6993168955846585,0.9235940501590699,0.8908623961606544,0.8990945412250652,8.98790910314679e-06,5.671846010274213e-05,7.899649007444124e-06,8.39088992791938e-06,8.542390455719098e-06
scda,15%, Overall,17365621.0,0.9728418790063186,0.8047281946411946,0.9533864781251182,0.8880182856920688,0.9188897090170295,1.4057119731330224e-06,1.632863506848475e-05,6.2711877423330195e-06,1.0720192403133634e-06,2.681899464175092e-06
scda,25%, 0.1%~0.5%,4579678.0,0.9888172618969131,0.35826244674424396,0.626044140880741,0.7886405403937259,0.6912030192926727,2.700267729221088e-06,7.52626019026038e-05,5.6719793596264635e-05,1.06063424460024e-05,4.049245315654957e-05
scda,25%, 0.5%~1%,3014809.0,0.9858448962790712,0.49977854216706574,0.7526492509438257,0.790521135202981,0.7704014530685729,3.179505102654479e-06,4.3289798160021276e-05,5.866427725696531e-05,2.909364242751475e-05,2.3892026701547455e-05
scda,25%, 1%~10%,6242570.0,0.969420337797447,0.6686903465234947,0.9163127991581886,0.8079550874894111,0.856937317931493,1.1274116467397557e-06,1.0310918503139291e-05,1.4681342028008809e-05,3.7291735902285007e-07,6.129858980928098e-06
scda,25%, 10%~20%,1353480.0,0.9063907466545515,0.6705978122127316,0.9469457269066074,0.8144023446276777,0.8699070465390953,2.5635696580355027e-06,3.0671366978464386e-05,8.628131719986946e-06,3.8763030713996465e-06,3.239377461886536e-06
scda,25%, 20%~30%,879876.0,0.8654036620472981,0.6241243127767181,0.9297213065380906,0.8168764386507132,0.859681202917269,8.984417581260519e-06,2.79571560129311e-05,6.126102218154999e-06,1.1575466620865833e-05,1.0108994159591945e-05
scda,25%, 30%~40%,686102.0,0.8388231794834985,0.578397920502071,0.9087799704570326,0.8188172195077893,0.846094473213009,1.3302836114216075e-05,1.6896232412510253e-05,1.1425513033612037e-05,1.6298048091297768e-05,1.5002531506525723e-05
scda,25%, 40%~50%,609106.0,0.8258892501336196,0.5499120079830647,0.8942387055956003,0.820142954865359,0.8357728249238283,4.806569899768502e-06,8.578303517104372e-06,5.323027081691918e-06,4.708990677256903e-06,5.22459156338481e-06
scda,25%, Overall,17365621.0,0.9570101215137287,0.6885911649104148,0.9388706125304768,0.8137692357574892,0.8692365676449304,2.239476282420378e-06,1.3247331402365899e-05,1.1009830676060515e-05,3.871297728311401e-06,5.787579024461895e-06
